pnumber tnumber num_reg tlabel talgorithm ttravel
100000 188876 27045 1 3 1
200000 377795 53992 2 6 3
300000 566546 80660 4 9 5
400000 755342 107656 5 12 7
500000 944240 0 6 17 10
600000 1132695 0 8 16 8
700000 1321598 0 9 18 8
800000 1510377 0 10 19 8
900000 1699469 0 12 20 8
1000000 1888472 0 15 25 9
